Timestamp,Open,High,Low,Close,Volume1,Volume2,Volume3,f
1733241600000,95703,97000,94888.1,95769.9,7586494.2,75864.942,7281259206.5877,1
1733155200000,97048.3,97382.7,93606,95703.1,10204254.6,102042.546,9729093465.5914,1
1733068800000,97042.8,98249.9,94787.9,97049.5,9821944,98219.44,9471215922.8874,1
1732982400000,96667.3,98400,95706.1,97042.8,8067237,80672.37,7803841285.6776,1
1732896000000,98026,98500,95214.1,96667.3,7051559.2,70515.592,6838776515.938,1
1732809600000,95012.6,98657.4,94732.5,98026,7686799.1,76867.991,7430970610.2901,1
1732723200000,95560.3,97200,94650.7,95011.7,9825805.1,98258.051,9409529949.7174,1
1732636800000,92812.1,95880,90825,95560.3,13995778.7,139957.787,13041596137.2364,1
1732550400000,96000.1,96533.1,91500,92813.8,17228431.2,172284.312,16134097351.9131,1
1732464000000,95956.1,98954.4,94605.2,96000.1,11774312.6,117743.126,11424826669.7678,1
1732377600000,98404.7,98588,95902.4,95956.1,7174083.5,71740.835,6994545373.5979,1
1732291200000,98651,99640.8,98235,98404.6,6580644.8,65806.448,6501913100.4908,1
1732204800000,96687.5,99490,96320.1,98650.9,13371121.9,133711.219,13140749537.1453,1
1732118400000,94721.7,98442.9,93127.1,96687.4,18299683.9,182996.839,17576994971.5571,1
1732032000000,92398,94829.9,91281.9,94721.6,13876357.2,138763.572,12930842032.7573,1
1731945600000,92368,92838,89688,92398,14007837.8,140078.378,12820310490.827,1
1731859200000,90262.5,92666,88700,92367.9,11816179.9,118161.799,10724202307.8166,1
1731772800000,90527.4,91500,89343.2,90262.4,6623841.2,66238.412,6000189660.1275,1
1731686400000,88441.6,91874.6,88376.2,90527.4,8680177.7,86801.777,7866797774.0808,1
1731600000000,87965.9,90740,86666,88441.6,14872382,148723.82,13168173425.815,1
1731513600000,92561.1,93372,87837.6,87965.9,20328321.2,203283.212,18399629182.7312,1
1731427200000,86600,92735.8,85737,92561.2,18876284.6,188762.846,16758240675.8257,1
1731340800000,84097.3,89991,83880,86600,32499025.5,324990.255,28335837805.3017,1
1731254400000,79700.1,84349,78520.1,84097.3,18716756.2,187167.562,15243314536.2265,1
1731168000000,76313.8,80300,75715,79700,14223568.4,142235.684,11159942354.2357,1
1731081600000,76415.1,77198.1,75801.7,76313.8,6801069.1,68010.691,5202558127.942,1
1730995200000,76060,76882.2,75484.9,76415.1,10831512.3,108315.123,8242241520.8823,1
1730908800000,74296.1,76422,74129.9,76059.9,12064671.9,120646.719,9073983356.3583,1
1730822400000,69638,75488,68680,74296.1,28867727.2,288677.272,21047380842.446,1
1730736000000,68636.5,70350.6,66811.7,69638,12414820.4,124148.204,8507070178.156,1
1730649600000,68102.3,69516.4,67679.3,68636.5,9200219.9,92002.199,6321534774.6652,1
1730563200000,69403.2,69626,67462.2,68102.3,8086628.9,80866.289,5531875835.3432,1
1730476800000,69393.8,70529.5,68826.2,69403.2,7264690.8,72646.908,5052339790.0338,1
1730390400000,70637.1,71644.3,68838.2,69393.8,15359838.8,153598.388,10776632194.3288,1
1730304000000,72061.2,72974,70450,70637.2,10769729.9,107697.299,7731529068.9739,1
1730217600000,72410.9,73760.5,71458.1,72061.3,13613464.4,136134.644,9867626961.9641,1
1730131200000,68496.6,72450,68449.9,72410.9,15267774.8,152677.748,10799756703.3522,1
1730044800000,67790,69293.6,67556,68497.1,9416165.3,94161.653,6444277167.862,1
1729958400000,66887.9,67860,66788,67790.1,3600523.7,36005.237,2424506252.087,1
1729872000000,67684.8,67900,65588,66887.9,12080281.6,120802.816,8078074364.9119,1
1729785600000,67699.7,68880,67248.3,67685.8,10343039.4,103430.394,7034264445.6287,1
1729699200000,66228.7,67986,65226,67699.7,12013002.9,120130.029,8026118801.5627,1
1729612800000,67290,67842,65901.3,66228.7,9327700.5,93277.005,6230439350.4285,1
1729526400000,67331.1,67924.5,66566.5,67290,11298256.9,112982.569,7601453396.0945,1
1729440000000,68635.2,69572,66856.2,67331,10820767.5,108207.675,7383014242.7279,1
1729353600000,68223.6,68777,68005.3,68635.2,3579684.5,35796.845,2447495156.4044,1
1729267200000,68741.8,69061.2,68085,68223.5,4931258.6,49312.586,3378093270.322,1
1729180800000,67583,68876,66713,68741.8,10907154.3,109071.543,7403391822.2346,1
1729094400000,67763.3,68111,66666,67583,9439905.5,94399.055,6357597600.0881,1
1729008000000,66022.7,68432.5,65979.2,67763.3,15319300.8,153193.008,10310680639.3011,1
1728921600000,65892.8,67990,64765,66022.6,18021134.6,180211.346,11907219257.4677,1
1728835200000,62231.4,66313,62172.8,65892.8,14475951.3,144759.513,9325319130.6708,1
1728748800000,63166,63400,62050,62231.3,4487528.8,44875.288,2816433805.2939,1
1728662400000,62254.3,63480.2,62122.4,63166,8256635.3,82566.353,5187137813.6178,1
1728576000000,60797.5,62466,58924.9,62254.3,13759778.8,137597.788,8344702653.2913,1
1728489600000,62311.8,62349.1,60300,60797.5,10996209.3,109962.093,6707211406.532,1
1728403200000,62281.3,62623.2,61637.3,62311.7,8048445.2,80484.452,5002499749.2377,1
1728316800000,63654.8,63916,61869.2,62281.3,10996218.3,109962.183,6893409041.9134,1
1728230400000,62729.2,64473.2,62300,63654.7,10797528.9,107975.289,6844237217.8523,1
1728144000000,62165,62787,61710,62729.2,3882365.6,38823.656,2413793021.0367,1
1728057600000,61886.9,62485.5,61648.2,62165,5143700.8,51437.008,3196435412.7602,1
1727971200000,60642.1,62016.2,59921.9,61887,10869478.8,108694.788,6648634867.9275,1
1727884800000,61864,62368.4,59840.8,60642.1,14827609.4,148276.094,9009034305.5398,1
1727798400000,62630,62786,60150,61865.5,17520915.4,175209.154,10766115378.9113,1
1727712000000,63568.9,64123.4,61800,62630.1,13606186,136061.86,8583777200.957,1
1727625600000,65763,66100,63249.6,63568.9,12416774.5,124167.745,7998724191.7542,1
1727539200000,65630.7,66002.7,65430,65762.9,3530107.9,35301.079,2318733081.671,1
1727452800000,66004,66374.9,65421.2,65630.7,5407052.9,54070.529,3560032579.1925,1
1727366400000,65239.3,66478.7,64620,66004,12040112.6,120401.126,7889881316.4355,1
1727280000000,63500,65535.9,62666,65238.4,13361914.3,133619.143,8562735469.8823,1
1727193600000,63164.3,64838.5,63093.7,63500,10194701.9,101947.019,6522453050.9332,1
1727107200000,63626.5,63947,62712,63164.2,8904107.4,89041.074,5638643456.0118,1
1727020800000,62655.1,64765,62356,63626.4,13131012,131310.12,8342810957.8366,1
1726934400000,63167.6,63600,62456.7,62655.4,4634518,46345.18,2918706511.5836,1
1726848000000,63164.9,63321.1,62337.9,63167.5,5241500.4,52415.004,3299819172.1019,1
1726761600000,63153.9,64183.2,62574.7,63165,13237321.4,132373.214,8382812507.4929,1
1726675200000,59434.2,63528,59162.8,63153.4,19937578.6,199375.786,12276527581.6562,1
1726588800000,61139.9,61276,59306.1,59434.2,10984731.7,109847.317,6608866540.2239,1
1726502400000,57887.8,61366,57450,61139.8,13610190.6,136101.906,8054089178.3005,1
1726416000000,60336.8,60350,57566.2,57887.8,11869539.6,118695.396,6973955033.4005,1
